query accession,genus/species,nucleotide acc,protein acc,fxn,dir,min,max,PfamID1,description,E-value1,PfamID2,description,E-value2,PfamID3,description,E-value3,custom hmm,custom hmm E-value,custom hmm2,custom hmm2 E-value
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991885.1,D,fwd,66384,67472,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,9.30E-44,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,2.10E-30,PF13460,NAD_binding_10  NAD(P)H-binding,3.80E-23,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084484516.1,,fwd,67469,68887,PF00067,p450  Cytochrome P450,3.10E-70,,,,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084484520.1,MMPL,fwd,69010,71145,PF03176,MMPL  MMPL family,1.00E-79,PF12349,Sterol-sensing  Sterol-sensing domain of SREBP cleavage-activation,0.041,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991889.1,,rev,71240,72004,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,9.00E-59,PF00106,adh_short  short chain dehydrogenase,4.60E-50,PF08659,KR  KR domain,3.90E-07,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991891.1,,fwd,72168,73238,PF05823,Gp-FAR-1  Nematode fatty acid retinoid binding protein (Gp-FAR-1),0.0094,PF07983,X8  X8 domain,0.019,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991893.1,,fwd,73388,75019,PF00005,ABC_tran  ABC transporter,1.10E-45,PF13304,AAA_21  AAA domain  putative AbiEii toxin  Type IV TA system,1.50E-20,PF02463,SMC_N  RecF/RecN/SMC N terminal domain,1.50E-08,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991895.1,,fwd,75172,75405,PF15477,SMAP  Small acidic protein family,0.015,,,,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991897.1,,rev,75474,76436,NO PFAM MATCH,,,,,,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062991899.1,,rev,76449,76907,NO PFAM MATCH,,,,,,,,,,,,
WP_084484515.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063813660.1,,rev,77243,77749,PF07883,Cupin_2  Cupin domain,1.20E-14,PF00190,Cupin_1  Cupin,8.00E-08,PF05899,Cupin_3  Protein of unknown function (DUF861),0.0013,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084483845.1,,fwd,126590,127162,PF01471,PG_binding_1  Putative peptidoglycan binding domain,1.80E-10,PF09374,PG_binding_3  Predicted Peptidoglycan domain,4.50E-05,PF13786,DUF4179  Domain of unknown function (DUF4179),0.1,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981627.1,,rev,127171,128352,PF13191,AAA_16  AAA ATPase domain,4.60E-23,PF13401,AAA_22  AAA domain,0.00059,PF01637,ATPase_2  ATPase domain predominantly from Archaea,0.0011,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981629.1,,fwd,128444,128710,NO PFAM MATCH,,,,,,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981754.1,,fwd,129308,129910,PF00877,NLPC_P60  NlpC/P60 family,1.70E-21,PF05257,CHAP  CHAP domain,0.033,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981636.1,,fwd,129913,130320,PF01479,S4  S4 domain,1.60E-11,PF14451,Ub-Mut7C  Mut7-C ubiquitin,0.026,PF14452,Multi_ubiq  Multiubiquitin,0.05,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981638.1,,rev,130379,132061,PF00501,AMP-binding  AMP-binding enzyme,4.10E-70,PF14535,AMP-binding_C_2  AMP-binding enzyme C-terminal domain,0.00021,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,0.051,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981640.1,,rev,132058,138162,PF00109,ketoacyl-synt  Beta-ketoacyl synthase  N-terminal domain,8.80E-64,PF00698,Acyl_transf_1  Acyl transferase domain,1.20E-61,PF08659,KR  KR domain,4.20E-45,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084483846.1,,rev,138159,138470,PF00550,PP-binding  Phosphopantetheine attachment site,1.30E-16,,,,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981758.1,,fwd,138672,139598,PF00753,Lactamase_B  Metallo-beta-lactamase superfamily,7.00E-16,PF12706,Lactamase_B_2  Beta-lactamase superfamily domain,0.00018,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981642.1,,rev,139755,140729,PF03060,NMO  Nitronate monooxygenase,8.20E-58,PF00478,IMPDH  IMP dehydrogenase / GMP reductase domain,5.60E-11,PF01070,FMN_dh  FMN-dependent dehydrogenase,9.90E-06,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981644.1,,fwd,141066,142637,PF00501,AMP-binding  AMP-binding enzyme,6.00E-108,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,5.30E-20,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981760.1,,fwd,142688,143296,PF00857,Isochorismatase  Isochorismatase family,1.30E-29,,,,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981763.1,,rev,143327,143935,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,2.70E-11,PF13022,HTH_Tnp_1_2  Helix-turn-helix of insertion element transposase,0.011,PF14278,TetR_C_8  Transcriptional regulator C-terminal region,0.033,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981646.1,,fwd,144015,144761,PF13649,Methyltransf_25  Methyltransferase domain,1.90E-25,PF08241,Methyltransf_11  Methyltransferase domain,2.50E-23,PF13847,Methyltransf_31  Methyltransferase domain,3.30E-20,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981648.1,,rev,144763,147135,PF03706,LPG_synthase_TM  Lysylphosphatidylglycerol synthase TM region,2.00E-31,PF06281,DUF1035  Protein of unknown function (DUF1035),0.61,PF06341,DUF1056  Protein of unknown function (DUF1056),3.4,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981765.1,,fwd,147392,148231,PF00106,adh_short  short chain dehydrogenase,1.10E-33,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,5.80E-23,PF01488,Shikimate_DH  Shikimate / quinate 5-dehydrogenase,7.60E-05,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981767.1,,rev,148212,148970,PF00106,adh_short  short chain dehydrogenase,1.10E-24,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,6.80E-23,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,0.0027,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981769.1,,rev,148984,149763,PF13661,2OG-FeII_Oxy_4  2OG-Fe(II) oxygenase superfamily,2.90E-05,PF13640,2OG-FeII_Oxy_3  2OG-Fe(II) oxygenase superfamily,0.0014,,,,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981650.1,,fwd,149877,150470,PF13472,Lipase_GDSL_2  GDSL-like Lipase/Acylhydrolase family,6.60E-21,PF00657,Lipase_GDSL  GDSL-like Lipase/Acylhydrolase,9.10E-07,PF14032,PknH_C  PknH-like extracellular domain,0.061,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084483847.1,,rev,150698,152113,PF03109,ABC1  ABC1 family,5.30E-25,PF01636,APH  Phosphotransferase enzyme family,0.0021,PF01163,RIO1  RIO1 family,0.05,,,,
WP_062981644.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062981652.1,,fwd,152292,153071,PF00392,GntR  Bacterial regulatory proteins  gntR family,1.30E-14,PF01978,TrmB  Sugar-specific transcriptional regulator TrmB,0.00017,PF01325,Fe_dep_repress  Iron dependent repressor  N-terminal DNA binding domain,0.0029,,,,
WP_036502245.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_036502245.1,,fwd,81,1751,PF00501,AMP-binding  AMP-binding enzyme,1.80E-59,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,0.13,,,,,,,
WP_036502245.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_083870817.1,,fwd,1769,2041,NO PFAM MATCH,,,,,,,,,,,,
WP_036502245.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051024676.1,D,fwd,2038,3078,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,4.30E-39,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,5.80E-30,PF13460,NAD_binding_10  NAD(P)H-binding,4.10E-23,,,,
WP_036502245.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_036502248.1,,fwd,3099,4292,NO PFAM MATCH,,,,,,,,,,,,
WP_083880642.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_083880642.1,,fwd,5,1039,PF00501,AMP-binding  AMP-binding enzyme,5.20E-29,,,,,,,,,,
WP_083880642.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_083880643.1,,fwd,1036,1323,PF09166,Biliv-reduc_cat  Biliverdin reductase  catalytic,0.098,,,,,,,,,,
WP_083880642.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051020838.1,D,fwd,1320,2366,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,2.30E-41,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.20E-30,PF07993,NAD_binding_4  Male sterility protein,2.10E-22,,,,
WP_083880642.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_039798646.1,,fwd,2393,3595,NO PFAM MATCH,,,,,,,,,,,,
WP_083880642.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_039798647.1,MMPL,fwd,3592,5292,PF03176,MMPL  MMPL family,2.30E-49,PF00873,ACR_tran  AcrB/AcrD/AcrF family,0.0068,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051862.1,,fwd,57721,58524,PF05175,MTS  Methyltransferase small domain,1.60E-08,PF13847,Methyltransf_31  Methyltransferase domain,1.10E-07,PF06325,PrmA  Ribosomal protein L11 methyltransferase (PrmA),2.30E-06,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051863.1,,rev,58688,59518,PF00106,adh_short  short chain dehydrogenase,1.40E-45,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.50E-32,PF08659,KR  KR domain,8.80E-11,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051864.1,,rev,59552,61123,PF00171,Aldedh  Aldehyde dehydrogenase family,1.10E-135,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051865.1,,fwd,61274,61957,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,1.90E-09,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.00047,PF13384,HTH_23  Homeodomain-like domain,0.00069,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084466940.1,,rev,61973,63238,PF00106,adh_short  short chain dehydrogenase,1.40E-42,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.20E-33,PF08659,KR  KR domain,1.80E-11,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051867.1,,rev,63446,64516,PF00111,Fer2  2Fe-2S iron-sulfur cluster binding domain,3.30E-11,PF00970,FAD_binding_6  Oxidoreductase FAD-binding domain,3.60E-06,PF00175,NAD_binding_1  Oxidoreductase NAD-binding domain,0.00054,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051868.1,,rev,64513,65388,PF10118,Metal_hydrol  Predicted metal-dependent hydrolase,4.10E-72,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051869.1,,fwd,65492,66154,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,2.20E-06,PF04546,Sigma70_ner  Sigma-70  non-essential region,0.13,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084466932.1,,fwd,66536,67687,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4.70E-10,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.60E-08,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.017,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051870.1,,fwd,67696,68610,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.20E-06,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.0072,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051871.1,,fwd,68607,70286,PF00501,AMP-binding  AMP-binding enzyme,2.50E-63,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,0.013,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051872.1,,fwd,70283,70564,NO PFAM MATCH,,,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051873.1,D,fwd,70561,71607,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,1.80E-39,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,6.30E-30,PF07993,NAD_binding_4  Male sterility protein,7.80E-23,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051874.1,,fwd,71634,72833,NO PFAM MATCH,,,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051875.1,MMPL,fwd,72830,74944,PF03176,MMPL  MMPL family,6.40E-63,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051876.1,,rev,75040,75723,NO PFAM MATCH,,,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051877.1,,rev,75733,77130,PF00668,Condensation  Condensation domain,9.90E-20,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051878.1,,rev,77159,83578,PF00109,ketoacyl-synt  Beta-ketoacyl synthase  N-terminal domain,2.00E-84,PF00698,Acyl_transf_1  Acyl transferase domain,8.80E-74,PF08659,KR  KR domain,4.40E-54,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084466933.1,MMPL,fwd,83842,86040,PF03176,MMPL  MMPL family,4.50E-70,PF00873,ACR_tran  AcrB/AcrD/AcrF family,2.50E-07,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051879.1,,rev,86130,87548,PF07690,MFS_1  Major Facilitator Superfamily,8.30E-38,,,,,,,,,,
WP_063051871.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063051880.1,,rev,87545,88558,PF00756,Esterase  Putative esterase,9.60E-34,PF00326,Peptidase_S9  Prolyl oligopeptidase family,0.13,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726813.1,,rev,3598,5169,PF00171,Aldedh  Aldehyde dehydrogenase family,4.50E-136,PF02899,Phage_int_SAM_1  Phage integrase  N-terminal SAM-like domain,0.11,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726816.1,,fwd,5319,6002,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,1.70E-09,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.00063,PF13384,HTH_23  Homeodomain-like domain,0.0021,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726876.1,,rev,6016,6915,PF00106,adh_short  short chain dehydrogenase,2.20E-43,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,5.10E-35,PF08659,KR  KR domain,1.20E-12,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726878.1,,rev,6933,8405,PF00743,FMO-like  Flavin-binding monooxygenase-like,1.20E-19,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,1.70E-18,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,1.70E-11,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726819.1,,rev,8444,9514,PF00111,Fer2  2Fe-2S iron-sulfur cluster binding domain,4.80E-11,PF00970,FAD_binding_6  Oxidoreductase FAD-binding domain,1.80E-06,PF00175,NAD_binding_1  Oxidoreductase NAD-binding domain,0.00049,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051046645.1,,rev,9511,10386,PF10118,Metal_hydrol  Predicted metal-dependent hydrolase,1.70E-71,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726824.1,,fwd,10491,11153,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,3.10E-05,PF12833,HTH_18  Helix-turn-helix domain,0.05,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726827.1,,rev,11150,12634,PF00743,FMO-like  Flavin-binding monooxygenase-like,4.80E-12,PF13450,NAD_binding_8  NAD(P)-binding Rossmann-like domain,4.80E-12,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,5.50E-11,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726880.1,,fwd,13217,14269,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.30E-10,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.10E-09,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.0047,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726830.1,,fwd,14278,15192,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,5.10E-06,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.0021,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051046646.1,,fwd,15189,16868,PF00501,AMP-binding  AMP-binding enzyme,5.30E-63,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726833.1,,fwd,16865,17146,PF10954,DUF2755  Protein of unknown function (DUF2755),0.099,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051046647.1,D,fwd,17143,18189,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,6.50E-40,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.30E-30,PF13460,NAD_binding_10  NAD(P)H-binding,1.90E-21,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726835.1,,fwd,18216,19415,NO PFAM MATCH,,,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726839.1,MMPL,fwd,19412,21517,PF03176,MMPL  MMPL family,2.60E-61,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726841.1,,rev,21576,22259,NO PFAM MATCH,,,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726844.1,,rev,22269,23666,PF00668,Condensation  Condensation domain,5.80E-19,,,,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726846.1,,rev,23698,30111,PF00109,ketoacyl-synt  Beta-ketoacyl synthase  N-terminal domain,6.40E-84,PF00698,Acyl_transf_1  Acyl transferase domain,8.60E-75,PF08659,KR  KR domain,3.70E-54,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051046648.1,MMPL,fwd,30375,32573,PF03176,MMPL  MMPL family,4.40E-68,PF00873,ACR_tran  AcrB/AcrD/AcrF family,1.10E-05,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_051046649.1,,rev,32570,33994,PF07690,MFS_1  Major Facilitator Superfamily,1.90E-39,PF01627,Hpt  Hpt domain,0.15,,,,,,,
WP_051046646.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043726848.1,,rev,33991,34185,NO PFAM MATCH,,,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801566.1,,fwd,61249,61932,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,3.60E-09,PF13384,HTH_23  Homeodomain-like domain,0.00036,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.00052,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486196.1,,rev,61946,62845,PF00106,adh_short  short chain dehydrogenase,3.40E-43,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.00E-34,PF08659,KR  KR domain,2.30E-12,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801569.1,,rev,62863,64335,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,4.50E-18,PF00743,FMO-like  Flavin-binding monooxygenase-like,5.30E-17,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,1.80E-11,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801572.1,,rev,64373,65440,PF00111,Fer2  2Fe-2S iron-sulfur cluster binding domain,3.50E-11,PF00970,FAD_binding_6  Oxidoreductase FAD-binding domain,2.80E-06,PF00175,NAD_binding_1  Oxidoreductase NAD-binding domain,0.00045,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801575.1,,rev,65437,66312,PF10118,Metal_hydrol  Predicted metal-dependent hydrolase,3.60E-72,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486190.1,,fwd,66408,67079,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,1.40E-06,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486197.1,,rev,67134,67835,PF12840,HTH_20  Helix-turn-helix domain,1.90E-08,PF13412,HTH_24  Winged helix-turn-helix DNA-binding,0.00037,PF01978,TrmB  Sugar-specific transcriptional regulator TrmB,0.0039,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801582.1,,fwd,67954,68592,PF01227,GTP_cyclohydroI  GTP cyclohydrolase I,8.90E-62,PF14489,QueF  QueF-like protein,0.067,PF02288,Dehydratase_MU  Dehydratase medium subunit,0.15,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486198.1,,fwd,69125,70177,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.00E-10,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.90E-08,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.015,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801585.1,,fwd,70187,71101,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.70E-06,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.00024,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.096,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801588.1,,fwd,71098,72771,PF00501,AMP-binding  AMP-binding enzyme,2.90E-63,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486199.1,,fwd,72768,73055,PF16938,Phage_holin_Dp1  Putative phage holin Dp-1,0.13,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801593.1,D,fwd,73052,74098,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,7.60E-42,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.00E-31,PF07993,NAD_binding_4  Male sterility protein,2.60E-22,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801596.1,,fwd,74125,75324,NO PFAM MATCH,,,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801599.1,MMPL,fwd,75321,77435,PF03176,MMPL  MMPL family,1.00E-60,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801602.1,,rev,77725,78666,PF04542,Sigma70_r2  Sigma-70 region 2,4.30E-17,PF08281,Sigma70_r4_2  Sigma-70  region 4,1.70E-15,PF04545,Sigma70_r4  Sigma-70  region 4,7.20E-06,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801605.1,,rev,78677,79867,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,3.60E-37,PF00070,Pyr_redox  Pyridine nucleotide-disulphide oxidoreductase,3.50E-09,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,4.80E-09,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801608.1,,rev,80201,80884,NO PFAM MATCH,,,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801612.1,,rev,80894,82291,PF00668,Condensation  Condensation domain,8.90E-20,,,,,,,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067801743.1,,rev,82323,88721,PF00109,ketoacyl-synt  Beta-ketoacyl synthase  N-terminal domain,4.90E-84,PF00698,Acyl_transf_1  Acyl transferase domain,9.40E-74,PF08659,KR  KR domain,1.10E-53,,,,
WP_067801588.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084486200.1,MMPL,fwd,89017,91194,PF03176,MMPL  MMPL family,5.30E-68,PF00873,ACR_tran  AcrB/AcrD/AcrF family,1.20E-06,,,,,,,
WP_042260945.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_042260931.1,,rev,18183,19034,PF02882,THF_DHG_CYH_C  Tetrahydrofolate dehydrogenase/cyclohydrolase  NAD(P)-binding domain,1.40E-58,PF00763,THF_DHG_CYH  Tetrahydrofolate dehydrogenase/cyclohydrolase  catalytic domain,1.90E-25,,,,,,,
WP_042260945.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_052383234.1,,fwd,19293,20165,PF02698,DUF218  DUF218 domain,3.40E-23,,,,,,,,,,
WP_042260945.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_042260932.1,,fwd,20578,21378,PF05175,MTS  Methyltransferase small domain,2.90E-09,PF13847,Methyltransf_31  Methyltransferase domain,4.60E-08,PF06325,PrmA  Ribosomal protein L11 methyltransferase (PrmA),4.90E-06,,,,
