query,genus_species,nucleotide_acc,protein_acc,start,end,dir,pfam_id1,description,e_value1,pfam_id2,description_1,e_value2,pfam_id3,description_2,e_value3,x17,x18,x19,x20,x21,x22
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941125.1,140697,138936,-,PF00501,AMP-binding enzyme,8.9e-34,PF13193,AMP-binding enzyme C-terminal domain,5.5e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941126.1,141868,140686,-,PF00067,Cytochrome P450,6e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_079941135.1,142602,141870,-,PF00535,Glycosyl transferase family 2,5.3e-21,PF13641,Glycosyltransferase like family 2,4.3e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_021472424.1,143726,142670,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.1e-17,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4.9e-14,PF00108,"Thiolase, N-terminal domain",9.3e-7,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_031216561.1,144416,143837,-,PF00406,Adenylate kinase,1.5e-51,PF13207,AAA domain,9.4e-33,PF13238,AAA domain,2.8e-10,PF13671,AAA domain,3.3e-9,PF02224,Cytidylate kinase,6e-4
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_031216558.1,145723,144412,-,PF00344,SecY translocase,4.4e-113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_021472421.1,146382,145911,-,PF00828,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",1.1e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_003803757.1,146588,146381,-,PF00327,Ribosomal protein L30p/L7e,1.5e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_021472420.1,147295,146590,-,PF00333,"Ribosomal protein S5, N-terminal domain",2.3e-28,PF03719,"Ribosomal protein S5, C-terminal domain",7.9e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_021472419.1,147675,147291,-,PF00861,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",4.5e-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_021472424.1,Arthrobacter sp. KI72,NZ_BDMH01000003.1,WP_021472418.1,148215,147678,-,PF00347,Ribosomal protein L6,1.6e-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_055973050.1,474146,474983,+,PF00528,Binding-protein-dependent transport system inner membrane component,7.5e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_079580735.1,474979,475900,+,PF00528,Binding-protein-dependent transport system inner membrane component,4.2e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776667.1,475949,477296,+,PF13416,Bacterial extracellular solute-binding protein,4.6e-41,PF01547,Bacterial extracellular solute-binding protein,4.7e-32,PF13343,Bacterial extracellular solute-binding protein,5.2e-6,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776668.1,478187,477359,-,PF00557,Metallopeptidase family M24,4.8e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_079580737.1,479120,478220,-,PF01370,NAD dependent epimerase/dehydratase family,1.1e-22,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1e-10,PF04321,RmlD substrate binding domain,1.5e-9,PF07993,Male sterility protein,3e-8,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_079580739.1,480850,479128,-,PF00501,AMP-binding enzyme,5.1e-38,PF13193,AMP-binding enzyme C-terminal domain,4e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_079580742.1,482042,480842,-,PF00067,Cytochrome P450,6.7e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776672.1,482773,482041,-,PF00535,Glycosyl transferase family 2,1.3e-21,PF13641,Glycosyltransferase like family 2,2.8e-13,PF12804,MobA-like NTP transferase domain,6e-5,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_055971671.1,483879,482835,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,7.7e-19,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,9.8e-14,PF00108,"Thiolase, N-terminal domain",1.3e-6,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_026267005.1,484568,483989,-,PF00406,Adenylate kinase,9.4e-52,PF13207,AAA domain,9e-32,PF13238,AAA domain,3.2e-11,PF13671,AAA domain,8.3e-9,PF02224,Cytidylate kinase,1.6e-4
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_039242402.1,485875,484564,-,PF00344,SecY translocase,5.5e-113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776676.1,486545,486062,-,PF00828,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",3e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776677.1,486751,486544,-,PF00327,Ribosomal protein L30p/L7e,1.7e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776678.1,487458,486753,-,PF00333,"Ribosomal protein S5, N-terminal domain",2.4e-28,PF03719,"Ribosomal protein S5, C-terminal domain",3.1e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776679.1,487838,487454,-,PF00861,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",1.5e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055971671.1,Arthrobacter sp. 31Cvi3.1E,NZ_FUZB01000001.1,WP_018776680.1,488378,487841,-,PF00347,Ribosomal protein L6,1.3e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_043430882.1,3312486,3313329,+,PF00528,Binding-protein-dependent transport system inner membrane component,7.9e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692783.1,3313325,3314180,+,PF00528,Binding-protein-dependent transport system inner membrane component,5.6e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692784.1,3314282,3315629,+,PF13416,Bacterial extracellular solute-binding protein,3.5e-40,PF01547,Bacterial extracellular solute-binding protein,9.5e-33,PF13343,Bacterial extracellular solute-binding protein,7.6e-6,PF10518,TAT (twin-arginine translocation) pathway signal sequence,2.2e-5,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692785.1,3316628,3315800,-,PF00557,Metallopeptidase family M24,1.9e-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692786.1,3317577,3316665,-,PF01370,NAD dependent epimerase/dehydratase family,1e-18,PF04321,RmlD substrate binding domain,3e-11,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.1e-9,PF07993,Male sterility protein,6.8e-7,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692787.1,3319301,3317573,-,PF00501,AMP-binding enzyme,2.3e-45,PF13193,AMP-binding enzyme C-terminal domain,1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692788.1,3320448,3319290,-,PF00067,Cytochrome P450,1e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_043429957.1,3321221,3320489,-,PF00535,Glycosyl transferase family 2,1.1e-18,PF13641,Glycosyltransferase like family 2,4e-13,PF13704,Glycosyl transferase family 2,2.2e-5,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692790.1,3322327,3321292,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,8.4e-21,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.8e-13,PF00108,"Thiolase, N-terminal domain",2.5e-6,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692791.1,3323121,3322542,-,PF00406,Adenylate kinase,2.5e-51,PF13207,AAA domain,5.2e-32,PF13238,AAA domain,2.6e-10,PF13671,AAA domain,1.5e-8,PF02224,Cytidylate kinase,1.8e-4
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692792.1,3324428,3323117,-,PF00344,SecY translocase,5.6e-113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692793.1,3325108,3324613,-,PF00828,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",1e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692794.1,3325315,3325108,-,PF00327,Ribosomal protein L30p/L7e,5.8e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692795.1,3326029,3325318,-,PF00333,"Ribosomal protein S5, N-terminal domain",1.1e-28,PF03719,"Ribosomal protein S5, C-terminal domain",2.9e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692796.1,3326409,3326025,-,PF00861,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",4e-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_011692790.1,Arthrobacter sp. FB24,NC_008541.1,WP_011692797.1,3326948,3326411,-,PF00347,Ribosomal protein L6,2.6e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350371.1,531871,532270,+,PF00410,Ribosomal protein S8,7.3e-49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350372.1,532288,532825,+,PF00347,Ribosomal protein L6,3.9e-40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350373.1,532828,533212,+,PF00861,"Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast",1.3e-47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350374.1,533208,533916,+,PF00333,"Ribosomal protein S5, N-terminal domain",1.8e-28,PF03719,"Ribosomal protein S5, C-terminal domain",3.4e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350375.1,533918,534125,+,PF00327,Ribosomal protein L30p/L7e,1.7e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350376.1,534124,534604,+,PF00828,"Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A",1.7e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350377.1,534806,536117,+,PF00344,SecY translocase,1e-112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350378.1,536113,536692,+,PF00406,Adenylate kinase,1.9e-51,PF13207,AAA domain,7.7e-32,PF13238,AAA domain,2.2e-10,PF13671,AAA domain,1.4e-8,PF02224,Cytidylate kinase,2.7e-4
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350379.1,536800,537829,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.9e-18,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.6e-13,PF00108,"Thiolase, N-terminal domain",7.3e-10,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_074466460.1,537882,538620,+,PF00535,Glycosyl transferase family 2,7.8e-22,PF13641,Glycosyltransferase like family 2,8e-15,PF10111,Glycosyltransferase like family 2,2.3e-4,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_083292377.1,538616,539804,+,PF00067,Cytochrome P450,3.5e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350381.1,539796,541470,+,PF00501,AMP-binding enzyme,1.1e-40,PF13193,AMP-binding enzyme C-terminal domain,1.6e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350382.1,541466,542393,+,PF01370,NAD dependent epimerase/dehydratase family,5.8e-18,PF04321,RmlD substrate binding domain,2.9e-14,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,4.3e-10,PF07993,Male sterility protein,5.2e-6,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350383.1,542422,543253,+,PF00557,Metallopeptidase family M24,3.8e-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350384.1,544071,543513,-,PF09349,OHCU decarboxylase,7e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_070350379.1,Arthrobacter sp. SW1,NZ_MJLT01000045.1,WP_070350385.1,545568,544107,-,PF01979,Amidohydrolase family,6e-30,PF07969,Amidohydrolase family,5.6e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_084557836.1,98134,96565,-,PF00270,DEAD/DEAH box helicase,2.1e-18,PF00271,Helicase conserved C-terminal domain,2.1e-16,PF16124,RecQ zinc-binding,2.2e-12,PF04851,"Type III restriction enzyme, res subunit",2.1e-5,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345630.1,98623,98317,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_084557831.1,101536,98686,-,PF03704,Bacterial transcriptional activator domain,1e-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345631.1,102786,101667,-,PF01262,"Alanine dehydrogenase/PNT, C-terminal domain",2.8e-79,PF05222,"Alanine dehydrogenase/PNT, N-terminal domain",7.1e-47,PF07992,Pyridine nucleotide-disulphide oxidoreductase,6.2e-6,PF00070,Pyridine nucleotide-disulphide oxidoreductase,6.3e-6,PF02826,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",1.8e-4
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345632.1,103814,102911,-,PF01370,NAD dependent epimerase/dehydratase family,4.9e-22,PF07993,Male sterility protein,5.8e-15,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,6.3e-15,PF04321,RmlD substrate binding domain,6.5e-11,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_034593713.1,105262,103810,-,PF00501,AMP-binding enzyme,4e-41,PF13193,AMP-binding enzyme C-terminal domain,3.3e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345633.1,106374,105258,-,PF00067,Cytochrome P450,7.8e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_034593714.1,107228,106466,-,PF00535,Glycosyl transferase family 2,1.4e-19,PF13641,Glycosyltransferase like family 2,5.7e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345635.1,108226,107227,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,5.9e-17,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,7.4e-16,PF00108,"Thiolase, N-terminal domain",2.7e-8,PF00109,"Beta-ketoacyl synthase, N-terminal domain",7.7e-5,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_051367422.1,108418,109534,+,PF00067,Cytochrome P450,7.9e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_084557838.1,109987,109522,-,PF00293,NUDIX domain,2.2e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345637.1,110173,111274,+,PF04107,Glutamate-cysteine ligase family 2(GCS2),9.3e-43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345638.1,113056,111373,-,PF06418,CTP synthase N-terminus,1.1e-122,PF00117,Glutamine amidotransferase class-I,8.8e-49,PF07722,Peptidase C26,7.4e-9,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_051367415.1,115373,113219,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345639.1,116496,115377,-,PF00534,Glycosyl transferases group 1,6.5e-25,PF13579,Glycosyl transferase 4-like domain,8.2e-25,PF13692,Glycosyl transferases group 1,2e-23,PF13439,Glycosyltransferase Family 4,1.7e-17,NA,NA,NA
WP_027345635.1,Hamadaea tsunoensis DSM 44101,NZ_AUAX01000027.1,WP_027345640.1,118061,116492,-,PF03023,MviN-like protein,4.8e-49,PF01554,MatE,3.3e-7,PF13440,Polysaccharide biosynthesis protein,4.7e-5,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354487.1,10126,9868,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_063736509.1,10220,11087,+,PF13560,Helix-turn-helix domain,6.6e-15,PF01381,Helix-turn-helix,3.1e-11,PF12844,Helix-turn-helix domain,1.9e-7,PF13744,Helix-turn-helix domain,1.5e-4,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354489.1,11083,11296,+,PF04149,Domain of unknown function (DUF397),1.7e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_051826145.1,12092,11360,-,PF14099,Polysaccharide lyase,3.7e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354491.1,13659,12237,-,PF00860,Permease family,9e-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_078657073.1,14272,13798,-,PF10604,Polyketide cyclase / dehydrase and lipid transport,6.1e-9,PF03364,Polyketide cyclase / dehydrase and lipid transport,8.9e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354492.1,15182,14285,-,PF02585,GlcNAc-PI de-N-acetylase,8e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_051826163.1,15431,16145,+,PF00652,Ricin-type beta-trefoil lectin domain,1.3e-22,PF14200,Ricin-type beta-trefoil lectin domain-like,1e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354493.1,16254,17271,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2e-17,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.6e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354494.1,17267,18005,+,PF00535,Glycosyl transferase family 2,1.7e-20,PF13641,Glycosyltransferase like family 2,1.1e-13,PF10111,Glycosyltransferase like family 2,6.7e-5,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354495.1,18025,19495,+,PF00501,AMP-binding enzyme,7.7e-42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_051826147.1,19491,20571,+,PF00067,Cytochrome P450,1.6e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354496.1,20570,21458,+,PF01370,NAD dependent epimerase/dehydratase family,2.3e-20,PF04321,RmlD substrate binding domain,9.2e-17,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.1e-14,PF07993,Male sterility protein,5.5e-12,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_051826149.1,21847,23170,+,PF00246,Zinc carboxypeptidase,8.1e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_063736510.1,23828,23246,-,PF12802,MarR family,1.3e-12,PF01047,MarR family,7.5e-11,PF13463,Winged helix DNA-binding domain,7.3e-10,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_033354497.1,24050,25253,+,PF00067,Cytochrome P450,8.9e-32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033354493.1,Kitasatospora aureofaciens,NZ_JNWR01000051.1,WP_030290119.1,25327,25537,+,PF13370,4Fe-4S single cluster domain of Ferredoxin I,9.7e-15,PF13459,4Fe-4S single cluster domain,3.5e-12,PF06902,Divergent 4Fe-4S mono-cluster,1.8e-7,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_051732297.1,35769,36678,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_081952224.1,37435,37177,-,PF09957,"Bacterial antitoxin of type II TA system, VapB",2.1e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217761.1,37920,37425,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217763.1,38647,38239,-,PF01850,PIN domain,4.3e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217765.1,38874,38643,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217767.1,40801,38983,-,PF01964,Radical SAM ThiC family,8.1e-201,PF13667,ThiC-associated domain,3.6e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217769.1,41042,41243,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217771.1,41428,42919,+,PF01145,SPFH domain / Band 7 family,1.4e-17,PF15975,Flotillin,1.1e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217772.1,43057,44065,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.6e-16,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.6e-16,PF00108,"Thiolase, N-terminal domain",1.1e-6,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_081952220.1,44061,44862,+,PF00535,Glycosyl transferase family 2,4e-21,PF13641,Glycosyltransferase like family 2,1.9e-12,PF10111,Glycosyltransferase like family 2,2.6e-4,NA,NA,NA,NA,NA,NA
